brand,0,1,2,3,4,5,6,7,8
HappyHawkers,Ang Mo Kio,Blk 531 Ang Mo Kio Ave 10,#01-2429,Singapore 560531,Operating Hours:,5.50am - 12am daily,,,
HappyHawkers,Yishun,747 Yishun Street 72,#01-108,Nee Soon Central Green,Singapore 760747,Operating Hours:,5am - 12am,,
HappyHawkers,215C Compassvale Drive,Blk 215C Compassvale,#01-06,Singapore 543215,Operating Hours:,6am - 11pm daily,,,
HappyHawkers,Compassvale Crescent,Blk 289C Compassvale Crescent,#01-01,Singapore 543289,Operating Hours:,6am - 11pm daily,,,
HappyHawkers,267 Compassvale Link,Blk 267 Compassvale Link,#01-02,Singapore 540267,Operating Hours:,24 Hours daily,,,
HappyHawkers,Edgefield Plains,Blk 671 Edgefield Plains,#01-01,Singapore 820671,Operating Hours:,7.00am - 10pm daily,,,
HappyHawkers,Sengkang West,Blk 433A Seng Kang West Way,#01-01,Singapore 791433,Operating Hours:,7am - 11pm daily,,,
HappyHawkers,Sembawang,Blk 406A Sembawang Drive,#01-01,Singapore 751406,Operating Hours:,24 hours daily,,,
HappyHawkers,Punggol Central,Blk 622D Punggol Central,#01-01,Singapore 824622,Operating Hours:,6am - 12am daily,,,
HappyHawkers,Yishun Ring,Blk 256 Yishun Ring Road,#01-1005,Singapore 760256,Operating Hours:,24 hours daily,,,
HappyHawkers,Jalan Membina,Blk 18 Jalan Membina,#01-01,Singapore 164018,Operating Hours:,6.30am - 12am daily,,,
HappyHawkers,Bedok North,Blk 204 Bedok North Street 1,#01-393,Singapore 460204,Operating Hours:,6am - 12am daily,,,
HappyHawkers,Bedok Reservoir,Blk 739 Bedok Reservoir Road,#01-3193,Singapore 470739,Operating Hours:,Monday-Saturday  7am - 11pm,Sunday 12pm-11pm,,
HappyHawkers,872C Tampines,Blk 872C Tampines St 86,#01-09,Singapore 523872,Operating Hours:,7am - 11pm Daily,,,
HappyHawkers,T-Space,1 Tampines North Drive 1,#01-34,Singapore 528559,Operating Hours:,7am - 10:30pm (Mon - Sat),Closed on Sun and PH,,
HappyHawkers,602B Tampines,Blk 602B Tampines Avenue 9,#01-01,Singapore 522602,Operating Hours:,24 hours daily,,,
HappyHawkers,Bukit Batok Central,Blk 632 Bukit Batok Central,#01-134,Singapore 650632,Operating Hours:,24 hours daily,,,
HappyHawkers,Jurong East,Blk 132 Jurong Gateway Road,#01-271,Singapore 600132,Operating Hours:,5am - 11pm daily,,,
Gourmet,Oasis Terraces,681 Punggol Drive,#04-01,Singapore 820681,Operating Hours:,8am - 10pm daily,,,
Gourmet,HDB HUB,Blk 480 Lorong 6 Toa Payoh,#B1-01,Singapore 310480,Operating Hours:,6am - 10pm daily,,,
R&B,Far East Square,135 Amoy Street,#01-02,Singapore 049964,Operating Hours:,Mon - Fri: 10:30am - 6:30pm,,,
R&B,Singapore Management University,90 Stamford Road,#01-71 School of Economics & Social Sciences,Singapore 178903,Operating Hours:,Temporarily Closed,,,
R&B,White Sands,1 Pasir Ris Central Street 3,#02-K5/K6,Singapore 518457,Operating Hours:,11am - 9:30pm daily,,,
R&B,The Seletar Mall,33 Sengkang West Avenue,#03-K3,Singapore 797653,Operating Hours:,11am - 9:30pm daily,,,
R&B,Clementi Mall,3155 Commonwealth Avenue West,#04-K4,Singapore 129588,Operating Hours:,Sun - Thu: 11am - 9pm,Fri - Sat: 11am - 9:30pm,,
R&B,Thomson Plaza,301 Upper Thomson Road,#01-106,Singapore 574408,Operating Hours:,Sun - Thu: 11am - 9pm,Fri - Sat: 11am - 9:30pm,,
R&B,Great World,1 Kim Seng Promenade,#B1-K104,Singapore 237994,Operating Hours:,11am - 9pm daily,,,
R&B,Eastpoint Mall,3 Simei Street 6,#01-04,Singapore 528833,Operating Hours:,11am - 9:30pm daily,,,
R&B,Change Alley Mall,30 Raffles Place,#B1-32,Singapore 048622,Operating Hours:,Mon - Fri: 10am - 8pm,,,
R&B,Le Quest Mall,4 Bukit Batok Street 41,#01-47,Singapore 657991,Operating Hours:,Sun - Thu: 11am - 9:30pm,Fri - Sat: 11am - 10pm,,
R&B,Fusionopolis,1 Fusionopolis Way,#B2-02 Connexis (South),Singapore 138632,Operating Hours:,Mon - Fri: 11am - 8pm,,,
R&B,Singapore Polytechnic,Singapore Polytechnic,Foodcourt 4 AeroHub (AE106),Singapore 139651,Operating Hours:,Temporarily closed,,,
R&B,YewTee Point,21 Choa Chu Kang North,#01-49,Singapore 689578,Operating Hours:,Sun - Thu: 11am - 9pm,Fri - Sat: 11am - 9:30pm,,
R&B,100AM (Amara),100 Tras Street,#01-07,Singapore 079027,Operating Hours:,11am - 9pm daily,,,
R&B,Oasis Terraces,681 Punggol Drive,#B1-03,Singapore 821669,Operating Hours:,Sun - Thu: 11am - 9pm,Fri - Sat: 11am - 9:30pm,,
R&B,SingPost Centre,10 Eunos Road 8,#01-133,Singapore 408600,Operating Hours:,11am - 9:30pm daily,,,
R&B,Kinex,11 Tanjong Katong Road,#B1-30,Singapore 436950,Operating Hours:,11am - 9pm daily,,,
R&B,Parkway Parade,80 Marine Parade Road,#03-30A,Singapore 449269,Operating Hours:,11am - 9pm daily,,,
R&B,Tampines MRT,Tampines MRT,#01-18,Singapore 529538,Operating Hours:,11am - 9pm daily,,,
R&B,United Square,101 Thomson Road,#02-K1,Singapore 307591,Operating Hours:,11am - 9pm daily,,,
R&B,Buangkok Square,991 Buangkok Link,#01-27,Singapore 530991,Operating Hours:,11am - 9pm daily,,,
R&B,Wisma Atria,435 Orchard Road,#B1-02,Singapore 238877,Operating Hours:,11am - 10pm daily,,,
R&B,Rivervale Plaza,Blk 118 Rivervale Drive,#01-K16,Singapore 540118,Operating Hours:,Sun - Thu: 11am - 9pm,Fri - Sat: 11am - 9:30pm,,
R&B,JEM,50 Jurong Gateway Road,#B1-15,Singapore 608549,Operating Hours:,Sun - Thu: 11am - 9:30pm,Fri - Sat: 11am - 10pm,,
