brand,postalcode,address,retaddr,lat,lng
HappyHawkers,Singapore 751406,Sembawang Blk 406A Sembawang Drive #01-01,Singapore 751406,1.4523759,103.817468
HappyHawkers,Singapore 824622,Punggol Central Blk 622D Punggol Central #01-01,Singapore 824622,1.399459,103.911705
HappyHawkers,Singapore 760256,Yishun Ring Blk 256 Yishun Ring Road #01-1005,Singapore 760256,1.434131,103.839936
HappyHawkers,Singapore 164018,Jalan Membina Blk 18 Jalan Membina #01-01,Singapore 164018,1.28568,103.826718
HappyHawkers,Singapore 460204,Bedok North Blk 204 Bedok North Street 1 #01-393,Singapore 460204,1.326535,103.929898
HappyHawkers,Singapore 470739,Bedok Reservoir Blk 739 Bedok Reservoir Road #01-3193,Singapore 470739,1.337976,103.922713
HappyHawkers,Singapore 523872,872C Tampines Blk 872C Tampines St 86 #01-09,Singapore 523872,1.355067,103.931584
HappyHawkers,Singapore 528559,T-Space 1 Tampines North Drive 1 #01-34,Singapore 528559,1.371783,103.933943
HappyHawkers,Singapore 522602,602B Tampines Blk 602B Tampines Avenue 9 #01-01,"602B Tampines Ave 9, #01-01, Singapore 522602",1.3613185,103.9377073
HappyHawkers,Singapore 650632,Bukit Batok Central Blk 632 Bukit Batok Central #01-134,Singapore 650632,1.349353,103.750512
HappyHawkers,Singapore 600132,Jurong East Blk 132 Jurong Gateway Road #01-271,Singapore 600132,1.334295,103.739637
Gourmet,Singapore 820681,Oasis Terraces 681 Punggol Drive #04-01,Singapore 820681,1.4025896,103.9128064
Gourmet,Singapore 310480,HDB HUB Blk 480 Lorong 6 Toa Payoh #B1-01,Singapore 310480,1.332253,103.848538
R&B,Singapore 049964,Far East Square 135 Amoy Street #01-02,Singapore 049964,1.2831,103.848341
R&B,Singapore 178903,Singapore Management University 90 Stamford Road #01-71 School of Economics & Social Sciences,Singapore 178903,1.297598,103.84892
R&B,Singapore 518457,White Sands 1 Pasir Ris Central Street 3 #02-K5/K6,Singapore 518457,1.372567,103.950162
R&B,Singapore 797653,The Seletar Mall 33 Sengkang West Avenue #03-K3,Singapore 797653,1.391352,103.876126
R&B,Singapore 129588,Clementi Mall 3155 Commonwealth Avenue West #04-K4,Singapore 129588,1.3150108,103.7643563
R&B,Singapore 574408,Thomson Plaza 301 Upper Thomson Road #01-106,Singapore 574408,1.354637,103.830935
R&B,Singapore 237994,Great World 1 Kim Seng Promenade #B1-K104,Singapore 237994,1.293984,103.832088
R&B,Singapore 528833,Eastpoint Mall 3 Simei Street 6 #01-04,Singapore 528833,1.342806,103.952974
R&B,Singapore 048622,Change Alley Mall 30 Raffles Place #B1-32,Singapore 048622,1.284255,103.85173
R&B,Singapore 657991,Le Quest Mall 4 Bukit Batok Street 41 #01-47,"4 Bukit Batok Street 41, Singapore 657991",1.3557502,103.7412367
R&B,Singapore 138632,Fusionopolis 1 Fusionopolis Way #B2-02 Connexis (South),Singapore 138632,1.299622,103.787656
R&B,Singapore 139651,Singapore Polytechnic Singapore Polytechnic Foodcourt 4 AeroHub (AE106),Singapore 139651,1.309126,103.78126
R&B,Singapore 689578,YewTee Point 21 Choa Chu Kang North #01-49,Singapore 689578,1.39729,103.746546
R&B,Singapore 079027,100AM (Amara) 100 Tras Street #01-07,Singapore 079027,1.274929,103.843549
R&B,Singapore 821669,Oasis Terraces 681 Punggol Drive #B1-03,Singapore 821669,1.4040655,103.913674
R&B,Singapore 408600,SingPost Centre 10 Eunos Road 8 #01-133,Singapore 408600,1.319291,103.894819
R&B,Singapore 436950,Kinex 11 Tanjong Katong Road #B1-30,Singapore 436950,1.315093,103.894519
R&B,Singapore 449269,Parkway Parade 80 Marine Parade Road #03-30A,Singapore 449269,1.301072,103.905281
R&B,Singapore 529538,Tampines MRT Tampines MRT #01-18,Singapore 529538,1.353448,103.945119
R&B,Singapore 307591,United Square 101 Thomson Road #02-K1,Singapore 307591,1.317711,103.843491
R&B,Singapore 530991,Buangkok Square 991 Buangkok Link #01-27,"Block 991 Buangkok Link, Singapore 530991",1.3843301,103.8820829
R&B,Singapore 238877,Wisma Atria 435 Orchard Road #B1-02,Singapore 238877,1.30351,103.833056
R&B,Singapore 540118,Rivervale Plaza Blk 118 Rivervale Drive #01-K16,Singapore 540118,1.385427,103.901579
R&B,Singapore 608549,JEM 50 Jurong Gateway Road #B1-15,Singapore 608549,1.3330671,103.7436599
R&B,Singapore 098585,VivoCity 1 Harbourfront Walk #B2-23 (in FairPrice Xtra),Singapore 098585,1.264613,103.823012
R&B,Singapore 310470,Toa Payoh Hub 470 Toa Payoh Lorong 6 Level 1 Kiosk,Singapore 310470,1.332046,103.8493419
R&B,Singapore 018956,The Shoppes @ Marina Bay Sands 10 Bayfront Avenue #B2-50 (in Rasapura Masters),Singapore 018956,1.282275,103.858322
R&B,Singapore 099253,HarbourFront Centre 1 Maritime Square #01-K9,Singapore 099253,1.264553,103.819304
1983NY,Singapore 567720,"AMK ITE 2 Ang Mo Kio Drive #02-10, Blk F",Singapore 567720,1.3777036,103.8554865
1983NY,Singapore 738964,Republic Polytechnic 9 Woodlands Avenue 9 South Food Court Level 2,Singapore 738964,1.443008,103.785698
Supertea,Singapore 039596,Millenia Walk 9 Raffles Boulevard #01-75,Singapore 039596,1.291601,103.860166
1983CT,Singapore 629117,Benoi (FairPrice Hub) 1 Joo Koon Circle #02-32/33,Singapore 629117,1.325605,103.6784349
1983CT,Singapore 529889,Changi General Hospital 2 Simei Street 3 #01-09,Singapore 529889,1.340711,103.949352
Elemen,Singapore 099253,"Harbourfront Centre 1 Maritime Square, #02-85",Singapore 099253,1.264553,103.819304
Elemen,Singapore 409057,Paya Lebar Quarter 10 Paya Lebar Road #03-13,Singapore 409057,1.3173684,103.8926378
Elemen,Singapore 039596,Millenia Walk 9 Raffles Boulevard #01-75A/76 Millenia Walk,Singapore 039596,1.291601,103.860166
Elemen,Singapore 237994,"Elemen Classic @ Great World City 1 Kim Seng Promenade, #01-122 Singapore 237994",Singapore 237994,1.293984,103.832088
Grove,Singapore 408600,SingPost Centre 10 Eunos Road 8 #01-151,Singapore 408600,1.319291,103.894819
Grove,Singapore 178901,Singapore Management University 70 Stamford Road #01-21 Li Ka Shing Library,Singapore 178901,1.296653,103.8505969
Grove,Singapore 750133,Canberra Plaza 133 Canberra View #01-19,"133 Canberra View, Singapore 750133",1.443256,103.830463
