brand,postalcode,address,lat,lng,subzone_n,pln_area_n,region_n
Cookhouse,Singapore 828761,Waterway Point 83 Punggol Central #02-20/21,1.406502,103.902084,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION
Cookhouse,Singapore 518457,White Sands 1 Pasir Ris Central Street 3 #03-01/02,1.372567,103.950162,PASIR RIS CENTRAL,PASIR RIS,EAST REGION
Rasapura,Singapore 018972,"The Shoppes at Marina Bay Sands 2 Bayfront Ave #B2-49A/50-53, Canal Level",1.283949,103.858846,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION
ForkSpoon,Singapore 310470,Toa Payoh Blk 470 Toa Payoh Lorong 6 #02-70,1.332046,103.8493419,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
ForkSpoon,Singapore 730768,Woodlands Mart Blk 768 Woodlands Ave 6 #01-32,1.445962,103.798159,WOODLANDS EAST,WOODLANDS,NORTH REGION
HappyHawkers,Singapore 560531,Ang Mo Kio Blk 531 Ang Mo Kio Ave 10 #01-2429,1.373356,103.854322,CHENG SAN,ANG MO KIO,NORTH-EAST REGION
HappyHawkers,Singapore 760747,Yishun 747 Yishun Street 72 #01-108,1.428283,103.833404,YISHUN WEST,YISHUN,NORTH REGION
HappyHawkers,Singapore 543215,215C Compassvale Drive Blk 215C Compassvale #01-06,1.3898391,103.8929155,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 543289,Compassvale Crescent Blk 289C Compassvale Crescent #01-01,1.39744,103.896897,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 540267,267 Compassvale Link Blk 267 Compassvale Link #01-02,1.38376,103.897067,COMPASSVALE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 820671,Edgefield Plains Blk 671 Edgefield Plains #01-01,1.4057059,103.9120219,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
HappyHawkers,Singapore 791433,Sengkang West Blk 433A Seng Kang West Way #01-01,1.394758,103.877477,FERNVALE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 751406,Sembawang Blk 406A Sembawang Drive #01-01,1.4523759,103.817468,SEMBAWANG NORTH,SEMBAWANG,NORTH REGION
HappyHawkers,Singapore 824622,Punggol Central Blk 622D Punggol Central #01-01,1.399459,103.911705,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
